Record ID,Sumber Feedback,Kanal Feedback,Tanggal Feedback,Tipe Stakeholder,Layanan,Rentang Waktu,Rating,Komentar,Tema Feedback,Customer Journey Hint,PIC Layanan,Lokasi,Tipe Instruktur
DEMO-20260330-0111,Outcome Review,Interview,2026-03-04,Sekolah / Universitas,Pelatihan Dasar Cybersecurity,1 Bulan Terakhir (Monthly),1,"Setelah Pelatihan Dasar Cybersecurity selesai, manfaat yang dirasakan belum kuat, tindak lanjut kurang jelas, dan output akhirnya belum mudah dipakai oleh tim sekolah / universitas.",outcome,Tindak Lanjut dan Outcome,Education Partnership Manager,Semarang,Internal
DEMO-20260330-0013,Learning Evaluation,Google Form,2026-03-03,Instansi Pemerintah (Gov),Workshop Tata Kelola Data,1 Bulan Terakhir (Monthly),2,"Materi Workshop Tata Kelola Data terasa terlalu basic, beberapa modul out of date, dan contoh implementasinya belum sesuai konteks instansi pemerintah.",material,Pelaksanaan Layanan,Public Sector Account Lead,Jakarta,Internal
DEMO-20260330-0076,Post-Class Survey,LMS,2026-03-03,Mahasiswa / Personal,Pelatihan Web Dev,1 Bulan Terakhir (Monthly),3,"Instruktur Pelatihan Web Dev cukup menguasai materi, tetapi penyampaian contoh kasus belum selalu relevan dengan kebutuhan personal.",instructor,Pelaksanaan Layanan,Retail Program Coordinator,Yogyakarta,OL
DEMO-20260330-0139,Operational Readiness Check,Google Form,2026-03-03,Vendor / Partner,Kerja Sama Event,1 Bulan Terakhir (Monthly),5,"Fasilitas ruang untuk Kerja Sama Event nyaman, lab siap dipakai, dan wifi stabil sepanjang sesi untuk vendor / partner.",facility,Persiapan dan Kesiapan Delivery,Alliance Manager,Online Live,Internal
DEMO-20260330-0041,Account Review,WhatsApp,2026-03-02,BUMN / Corporate,Pelatihan Cloud Native (AWS),1 Bulan Terakhir (Monthly),3,"Respons admin untuk Pelatihan Cloud Native (AWS) cukup cepat, tetapi follow up revisi dan update status masih perlu dibuat lebih konsisten untuk BUMN / corporate.",responsiveness,Pra-Layanan dan Ekspektasi,Corporate Delivery Lead,Surabaya,Internal
DEMO-20260330-0014,Stakeholder Debrief,CRM,2026-02-28,Instansi Pemerintah (Gov),Pelatihan IT Security,1 Bulan Terakhir (Monthly),3,"Komunikasi untuk Pelatihan IT Security cukup jelas, namun update perubahan kecil belum selalu dibagikan ke seluruh PIC instansi pemerintah.",communication,Pra-Layanan dan Ekspektasi,Public Sector Account Lead,Yogyakarta,OL
DEMO-20260330-0077,Learning Evaluation,Google Form,2026-02-28,Mahasiswa / Personal,Bootcamp Data Science,1 Bulan Terakhir (Monthly),5,"Materi Bootcamp Data Science relevan, modulnya terstruktur, dan contoh implementasinya mudah diterapkan setelah sesi selesai oleh personal.",material,Pelaksanaan Layanan,Retail Program Coordinator,Online Live,Internal
DEMO-20260330-0140,Post-Class Survey,LMS,2026-02-28,Vendor / Partner,Enablement Partner Teknologi,1 Bulan Terakhir (Monthly),4,"Instruktur Enablement Partner Teknologi sangat kompeten, penjelasannya jelas, dan contoh kasusnya dekat dengan kebutuhan vendor / partner.",instructor,Pelaksanaan Layanan,Alliance Manager,Jakarta,Internal
DEMO-20260330-0056,Executive Follow-up,Meeting Notes,2026-02-27,BUMN / Corporate,Workshop AI Adoption Readiness,6 Bulan Terakhir (Biannual),4,"Secara umum pengalaman layanan sudah cukup baik, tetapi organisasi masih meminta komunikasi, jadwal, dan tindak lanjut hasil dibuat lebih konsisten agar manfaatnya terasa merata.",cross_theme,Lintas Tahap,Corporate Delivery Lead,Surabaya,Internal
DEMO-20260330-0024,Executive Follow-up,Meeting Notes,2026-02-27,Instansi Pemerintah (Gov),Workshop Tata Kelola Data,6 Bulan Terakhir (Biannual),4,"Secara umum pengalaman layanan sudah cukup baik, tetapi organisasi masih meminta komunikasi, jadwal, dan tindak lanjut hasil dibuat lebih konsisten agar manfaatnya terasa merata.",cross_theme,Lintas Tahap,Public Sector Account Lead,Yogyakarta,Internal
DEMO-20260330-0088,Executive Follow-up,Meeting Notes,2026-02-27,Mahasiswa / Personal,Bootcamp Data Science,6 Bulan Terakhir (Biannual),4,"Secara umum pengalaman layanan sudah cukup baik, tetapi organisasi masih meminta komunikasi, jadwal, dan tindak lanjut hasil dibuat lebih konsisten agar manfaatnya terasa merata.",cross_theme,Lintas Tahap,Retail Program Coordinator,Yogyakarta,Internal
DEMO-20260330-0120,Executive Follow-up,Meeting Notes,2026-02-27,Sekolah / Universitas,Bootcamp Data untuk Dosen,6 Bulan Terakhir (Biannual),4,"Secara umum pengalaman layanan sudah cukup baik, tetapi organisasi masih meminta komunikasi, jadwal, dan tindak lanjut hasil dibuat lebih konsisten agar manfaatnya terasa merata.",cross_theme,Lintas Tahap,Education Partnership Manager,Semarang,Internal
DEMO-20260330-0152,Executive Follow-up,Meeting Notes,2026-02-27,Vendor / Partner,Technical Sales Workshop,6 Bulan Terakhir (Biannual),4,"Secara umum pengalaman layanan sudah cukup baik, tetapi organisasi masih meminta komunikasi, jadwal, dan tindak lanjut hasil dibuat lebih konsisten agar manfaatnya terasa merata.",cross_theme,Lintas Tahap,Alliance Manager,Jakarta,Internal
DEMO-20260330-0017,Account Review,WhatsApp,2026-02-13,Instansi Pemerintah (Gov),Workshop Tata Kelola Data,6 Bulan Terakhir (Biannual),4,"Tim account untuk Workshop Tata Kelola Data cepat merespons pertanyaan dan follow up sangat jelas, sehingga koordinasi dengan instansi pemerintah berjalan lancar sejak awal.",responsiveness,Pra-Layanan dan Ekspektasi,Public Sector Account Lead,Yogyakarta,Internal
DEMO-20260330-0018,Project Coordination Log,Email,2026-02-10,Instansi Pemerintah (Gov),Pelatihan IT Security,6 Bulan Terakhir (Biannual),5,"Jadwal Pelatihan IT Security tertata rapi, durasi sesi pas, dan jeda antarsesi cukup untuk menjaga fokus peserta instansi pemerintah.",schedule,Persiapan dan Kesiapan Delivery,Public Sector Account Lead,Jakarta,OL
DEMO-20260330-0019,Operational Readiness Check,On-site Form,2026-02-07,Instansi Pemerintah (Gov),Audit SPBE,6 Bulan Terakhir (Biannual),3,"Ruang Audit SPBE cukup nyaman, namun jaringan sesekali melambat saat peserta instansi pemerintah mengakses lab dan package.",facility,Persiapan dan Kesiapan Delivery,Public Sector Account Lead,Yogyakarta,Internal
DEMO-20260330-0020,Post-Class Survey,Google Form,2026-02-04,Instansi Pemerintah (Gov),Workshop Tata Kelola Data,6 Bulan Terakhir (Biannual),2,Instruktur Workshop Tata Kelola Data kurang konsisten menjawab pertanyaan lanjutan dan beberapa penjelasan terasa terlalu umum untuk kebutuhan instansi pemerintah.,instructor,Pelaksanaan Layanan,Public Sector Account Lead,Jakarta,Internal
DEMO-20260330-0021,Learning Evaluation,LMS,2026-02-01,Instansi Pemerintah (Gov),Pelatihan IT Security,6 Bulan Terakhir (Biannual),4,"Materi Pelatihan IT Security relevan, modulnya terstruktur, dan contoh implementasinya mudah diterapkan setelah sesi selesai oleh instansi pemerintah.",material,Pelaksanaan Layanan,Public Sector Account Lead,Yogyakarta,OL
DEMO-20260330-0049,Account Review,Email,2026-01-31,BUMN / Corporate,Workshop AI Adoption Readiness,6 Bulan Terakhir (Biannual),5,"Tim account untuk Workshop AI Adoption Readiness cepat merespons pertanyaan dan follow up sangat jelas, sehingga koordinasi dengan BUMN / corporate berjalan lancar sejak awal.",responsiveness,Pra-Layanan dan Ekspektasi,Corporate Delivery Lead,Jakarta,OL
DEMO-20260330-0022,Stakeholder Debrief,Email,2026-01-29,Instansi Pemerintah (Gov),Audit SPBE,6 Bulan Terakhir (Biannual),3,"Komunikasi untuk Audit SPBE cukup jelas, namun update perubahan kecil belum selalu dibagikan ke seluruh PIC instansi pemerintah.",communication,Pra-Layanan dan Ekspektasi,Public Sector Account Lead,Jakarta,Internal
DEMO-20260330-0050,Project Coordination Log,Google Form,2026-01-28,BUMN / Corporate,Konsultasi IT Masterplan,6 Bulan Terakhir (Biannual),3,"Jadwal Konsultasi IT Masterplan cukup sesuai, tetapi durasi sesi siang terasa padat dan jeda masih bisa diperbaiki untuk peserta BUMN / corporate.",schedule,Persiapan dan Kesiapan Delivery,Corporate Delivery Lead,Bandung,Internal
DEMO-20260330-0023,Outcome Review,Interview,2026-01-26,Instansi Pemerintah (Gov),Workshop Tata Kelola Data,6 Bulan Terakhir (Biannual),1,"Setelah Workshop Tata Kelola Data selesai, manfaat yang dirasakan belum kuat, tindak lanjut kurang jelas, dan output akhirnya belum mudah dipakai oleh tim instansi pemerintah.",outcome,Tindak Lanjut dan Outcome,Public Sector Account Lead,Yogyakarta,Internal
DEMO-20260330-0051,Operational Readiness Check,Google Form,2026-01-25,BUMN / Corporate,Pelatihan Cloud Native (AWS),6 Bulan Terakhir (Biannual),2,"Fasilitas ruang untuk Pelatihan Cloud Native (AWS) kurang siap; wifi sering putus, AC tidak stabil, dan setup lab terlambat saat sesi dimulai untuk BUMN / corporate.",facility,Persiapan dan Kesiapan Delivery,Corporate Delivery Lead,Surabaya,Internal
DEMO-20260330-0052,Post-Class Survey,LMS,2026-01-22,BUMN / Corporate,Workshop AI Adoption Readiness,6 Bulan Terakhir (Biannual),4,"Instruktur Workshop AI Adoption Readiness sangat kompeten, penjelasannya jelas, dan contoh kasusnya dekat dengan kebutuhan BUMN / corporate.",instructor,Pelaksanaan Layanan,Corporate Delivery Lead,Jakarta,OL
DEMO-20260330-0053,Learning Evaluation,Google Form,2026-01-19,BUMN / Corporate,Konsultasi IT Masterplan,6 Bulan Terakhir (Biannual),3,"Materi Konsultasi IT Masterplan cukup jelas, tetapi beberapa modul masih perlu diperbarui agar lebih relevan dengan kondisi terbaru untuk BUMN / corporate.",material,Pelaksanaan Layanan,Corporate Delivery Lead,Bandung,Internal
DEMO-20260330-0081,Account Review,WhatsApp,2026-01-18,Mahasiswa / Personal,Bootcamp Data Science,6 Bulan Terakhir (Biannual),3,"Respons admin untuk Bootcamp Data Science cukup cepat, tetapi follow up revisi dan update status masih perlu dibuat lebih konsisten untuk personal.",responsiveness,Pra-Layanan dan Ekspektasi,Retail Program Coordinator,Yogyakarta,Internal
DEMO-20260330-0054,Stakeholder Debrief,CRM,2026-01-16,BUMN / Corporate,Pelatihan Cloud Native (AWS),6 Bulan Terakhir (Biannual),1,"Komunikasi Pelatihan Cloud Native (AWS) kurang rapi; informasi perubahan jadwal, brief teknis, dan update status tidak selalu tersampaikan ke semua PIC BUMN / corporate.",communication,Pra-Layanan dan Ekspektasi,Corporate Delivery Lead,Surabaya,Internal
DEMO-20260330-0082,Project Coordination Log,Email,2026-01-15,Mahasiswa / Personal,Sertifikasi Cisco (CCNA),6 Bulan Terakhir (Biannual),2,"Jadwal Sertifikasi Cisco (CCNA) terlalu padat, perubahan waktu mendadak, dan jeda antarsesi kurang memadai bagi peserta personal.",schedule,Persiapan dan Kesiapan Delivery,Retail Program Coordinator,Online Live,Internal
DEMO-20260330-0055,Outcome Review,CRM,2026-01-13,BUMN / Corporate,Workshop AI Adoption Readiness,6 Bulan Terakhir (Biannual),5,"Hasil Workshop AI Adoption Readiness terasa actionable, membantu tim BUMN / corporate menindaklanjuti pekerjaan, dan output akhirnya bisa langsung dipakai.",outcome,Tindak Lanjut dan Outcome,Corporate Delivery Lead,Jakarta,OL
DEMO-20260330-0083,Operational Readiness Check,On-site Form,2026-01-12,Mahasiswa / Personal,Pelatihan Web Dev,6 Bulan Terakhir (Biannual),4,"Fasilitas ruang untuk Pelatihan Web Dev nyaman, lab siap dipakai, dan wifi stabil sepanjang sesi untuk personal.",facility,Persiapan dan Kesiapan Delivery,Retail Program Coordinator,Yogyakarta,OL
DEMO-20260330-0084,Post-Class Survey,Google Form,2026-01-09,Mahasiswa / Personal,Bootcamp Data Science,6 Bulan Terakhir (Biannual),3,"Instruktur Bootcamp Data Science cukup menguasai materi, tetapi penyampaian contoh kasus belum selalu relevan dengan kebutuhan personal.",instructor,Pelaksanaan Layanan,Retail Program Coordinator,Online Live,Internal
DEMO-20260330-0085,Learning Evaluation,LMS,2026-01-06,Mahasiswa / Personal,Sertifikasi Cisco (CCNA),6 Bulan Terakhir (Biannual),1,"Materi Sertifikasi Cisco (CCNA) terasa terlalu basic, beberapa modul out of date, dan contoh implementasinya belum sesuai konteks personal.",material,Pelaksanaan Layanan,Retail Program Coordinator,Yogyakarta,Internal
DEMO-20260330-0113,Account Review,Email,2026-01-05,Sekolah / Universitas,Bootcamp Data untuk Dosen,6 Bulan Terakhir (Biannual),2,"Tim account untuk Bootcamp Data untuk Dosen lambat merespons permintaan revisi dan follow up dari sekolah / universitas, sehingga timeline terasa mundur dari SLA yang dijanjikan.",responsiveness,Pra-Layanan dan Ekspektasi,Education Partnership Manager,Yogyakarta,Internal
DEMO-20260330-0086,Stakeholder Debrief,Email,2026-01-03,Mahasiswa / Personal,Pelatihan Web Dev,6 Bulan Terakhir (Biannual),5,"Komunikasi pra-delivery Pelatihan Web Dev rapi, brief jelas, dan semua update status diterima tepat waktu oleh tim personal.",communication,Pra-Layanan dan Ekspektasi,Retail Program Coordinator,Online Live,OL
DEMO-20260330-0114,Project Coordination Log,Google Form,2026-01-02,Sekolah / Universitas,Program Magang / Kunjungan Industri,6 Bulan Terakhir (Biannual),4,"Jadwal Program Magang / Kunjungan Industri tertata rapi, durasi sesi pas, dan jeda antarsesi cukup untuk menjaga fokus peserta sekolah / universitas.",schedule,Persiapan dan Kesiapan Delivery,Education Partnership Manager,Semarang,OL
DEMO-20260330-0087,Outcome Review,Interview,2025-12-31,Mahasiswa / Personal,Bootcamp Data Science,6 Bulan Terakhir (Biannual),4,"Hasil Bootcamp Data Science terasa actionable, membantu tim personal menindaklanjuti pekerjaan, dan output akhirnya bisa langsung dipakai.",outcome,Tindak Lanjut dan Outcome,Retail Program Coordinator,Yogyakarta,Internal
DEMO-20260330-0115,Operational Readiness Check,Google Form,2025-12-30,Sekolah / Universitas,Pelatihan Dasar Cybersecurity,6 Bulan Terakhir (Biannual),3,"Ruang Pelatihan Dasar Cybersecurity cukup nyaman, namun jaringan sesekali melambat saat peserta sekolah / universitas mengakses lab dan package.",facility,Persiapan dan Kesiapan Delivery,Education Partnership Manager,Yogyakarta,Internal
DEMO-20260330-0116,Post-Class Survey,LMS,2025-12-27,Sekolah / Universitas,Bootcamp Data untuk Dosen,6 Bulan Terakhir (Biannual),1,Instruktur Bootcamp Data untuk Dosen kurang konsisten menjawab pertanyaan lanjutan dan beberapa penjelasan terasa terlalu umum untuk kebutuhan sekolah / universitas.,instructor,Pelaksanaan Layanan,Education Partnership Manager,Semarang,Internal
DEMO-20260330-0117,Learning Evaluation,Google Form,2025-12-24,Sekolah / Universitas,Program Magang / Kunjungan Industri,6 Bulan Terakhir (Biannual),5,"Materi Program Magang / Kunjungan Industri relevan, modulnya terstruktur, dan contoh implementasinya mudah diterapkan setelah sesi selesai oleh sekolah / universitas.",material,Pelaksanaan Layanan,Education Partnership Manager,Yogyakarta,OL
DEMO-20260330-0145,Account Review,WhatsApp,2025-12-23,Vendor / Partner,Technical Sales Workshop,6 Bulan Terakhir (Biannual),4,"Tim account untuk Technical Sales Workshop cepat merespons pertanyaan dan follow up sangat jelas, sehingga koordinasi dengan vendor / partner berjalan lancar sejak awal.",responsiveness,Pra-Layanan dan Ekspektasi,Alliance Manager,Jakarta,OL
DEMO-20260330-0118,Stakeholder Debrief,CRM,2025-12-21,Sekolah / Universitas,Pelatihan Dasar Cybersecurity,6 Bulan Terakhir (Biannual),4,"Komunikasi pra-delivery Pelatihan Dasar Cybersecurity rapi, brief jelas, dan semua update status diterima tepat waktu oleh tim sekolah / universitas.",communication,Pra-Layanan dan Ekspektasi,Education Partnership Manager,Semarang,Internal
DEMO-20260330-0146,Project Coordination Log,Email,2025-12-20,Vendor / Partner,Kerja Sama Event,6 Bulan Terakhir (Biannual),3,"Jadwal Kerja Sama Event cukup sesuai, tetapi durasi sesi siang terasa padat dan jeda masih bisa diperbaiki untuk peserta vendor / partner.",schedule,Persiapan dan Kesiapan Delivery,Alliance Manager,Online Live,Internal
DEMO-20260330-0119,Outcome Review,CRM,2025-12-18,Sekolah / Universitas,Bootcamp Data untuk Dosen,6 Bulan Terakhir (Biannual),3,"Hasil Bootcamp Data untuk Dosen cukup membantu, tetapi tindak lanjut pasca-sesi masih perlu pendampingan agar manfaatnya lebih terasa untuk sekolah / universitas.",outcome,Tindak Lanjut dan Outcome,Education Partnership Manager,Yogyakarta,Internal
DEMO-20260330-0147,Operational Readiness Check,On-site Form,2025-12-17,Vendor / Partner,Enablement Partner Teknologi,6 Bulan Terakhir (Biannual),1,"Fasilitas ruang untuk Enablement Partner Teknologi kurang siap; wifi sering putus, AC tidak stabil, dan setup lab terlambat saat sesi dimulai untuk vendor / partner.",facility,Persiapan dan Kesiapan Delivery,Alliance Manager,Jakarta,Internal
DEMO-20260330-0148,Post-Class Survey,Google Form,2025-12-14,Vendor / Partner,Technical Sales Workshop,6 Bulan Terakhir (Biannual),5,"Instruktur Technical Sales Workshop sangat kompeten, penjelasannya jelas, dan contoh kasusnya dekat dengan kebutuhan vendor / partner.",instructor,Pelaksanaan Layanan,Alliance Manager,Online Live,OL
DEMO-20260330-0149,Learning Evaluation,LMS,2025-12-11,Vendor / Partner,Kerja Sama Event,6 Bulan Terakhir (Biannual),4,"Materi Kerja Sama Event relevan, modulnya terstruktur, dan contoh implementasinya mudah diterapkan setelah sesi selesai oleh vendor / partner.",material,Pelaksanaan Layanan,Alliance Manager,Jakarta,Internal
DEMO-20260330-0150,Stakeholder Debrief,Email,2025-12-08,Vendor / Partner,Enablement Partner Teknologi,6 Bulan Terakhir (Biannual),3,"Komunikasi untuk Enablement Partner Teknologi cukup jelas, namun update perubahan kecil belum selalu dibagikan ke seluruh PIC vendor / partner.",communication,Pra-Layanan dan Ekspektasi,Alliance Manager,Online Live,Internal
DEMO-20260330-0151,Outcome Review,Interview,2025-12-05,Vendor / Partner,Technical Sales Workshop,6 Bulan Terakhir (Biannual),1,"Setelah Technical Sales Workshop selesai, manfaat yang dirasakan belum kuat, tindak lanjut kurang jelas, dan output akhirnya belum mudah dipakai oleh tim vendor / partner.",outcome,Tindak Lanjut dan Outcome,Alliance Manager,Jakarta,OL
DEMO-20260330-0064,Executive Follow-up,Meeting Notes,2025-09-30,BUMN / Corporate,Konsultasi IT Masterplan,1 Tahun Terakhir (Yearly),3,"Secara umum pengalaman layanan sudah cukup baik, tetapi organisasi masih meminta komunikasi, jadwal, dan tindak lanjut hasil dibuat lebih konsisten agar manfaatnya terasa merata.",cross_theme,Lintas Tahap,Corporate Delivery Lead,Jakarta,OL
DEMO-20260330-0032,Executive Follow-up,Meeting Notes,2025-09-30,Instansi Pemerintah (Gov),Pelatihan IT Security,1 Tahun Terakhir (Yearly),3,"Secara umum pengalaman layanan sudah cukup baik, tetapi organisasi masih meminta komunikasi, jadwal, dan tindak lanjut hasil dibuat lebih konsisten agar manfaatnya terasa merata.",cross_theme,Lintas Tahap,Public Sector Account Lead,Jakarta,OL
DEMO-20260330-0096,Executive Follow-up,Meeting Notes,2025-09-30,Mahasiswa / Personal,Sertifikasi Cisco (CCNA),1 Tahun Terakhir (Yearly),3,"Secara umum pengalaman layanan sudah cukup baik, tetapi organisasi masih meminta komunikasi, jadwal, dan tindak lanjut hasil dibuat lebih konsisten agar manfaatnya terasa merata.",cross_theme,Lintas Tahap,Retail Program Coordinator,Online Live,OL
DEMO-20260330-0128,Executive Follow-up,Meeting Notes,2025-09-30,Sekolah / Universitas,Program Magang / Kunjungan Industri,1 Tahun Terakhir (Yearly),3,"Secara umum pengalaman layanan sudah cukup baik, tetapi organisasi masih meminta komunikasi, jadwal, dan tindak lanjut hasil dibuat lebih konsisten agar manfaatnya terasa merata.",cross_theme,Lintas Tahap,Education Partnership Manager,Yogyakarta,OL
DEMO-20260330-0160,Executive Follow-up,Meeting Notes,2025-09-30,Vendor / Partner,Kerja Sama Event,1 Tahun Terakhir (Yearly),3,"Secara umum pengalaman layanan sudah cukup baik, tetapi organisasi masih meminta komunikasi, jadwal, dan tindak lanjut hasil dibuat lebih konsisten agar manfaatnya terasa merata.",cross_theme,Lintas Tahap,Alliance Manager,Online Live,OL
DEMO-20260330-0025,Account Review,Email,2025-09-09,Instansi Pemerintah (Gov),Pelatihan IT Security,1 Tahun Terakhir (Yearly),5,"Tim account untuk Pelatihan IT Security cepat merespons pertanyaan dan follow up sangat jelas, sehingga koordinasi dengan instansi pemerintah berjalan lancar sejak awal.",responsiveness,Pra-Layanan dan Ekspektasi,Public Sector Account Lead,Jakarta,OL
DEMO-20260330-0026,Project Coordination Log,Google Form,2025-09-06,Instansi Pemerintah (Gov),Audit SPBE,1 Tahun Terakhir (Yearly),4,"Jadwal Audit SPBE tertata rapi, durasi sesi pas, dan jeda antarsesi cukup untuk menjaga fokus peserta instansi pemerintah.",schedule,Persiapan dan Kesiapan Delivery,Public Sector Account Lead,Yogyakarta,Internal
DEMO-20260330-0027,Operational Readiness Check,Google Form,2025-09-03,Instansi Pemerintah (Gov),Workshop Tata Kelola Data,1 Tahun Terakhir (Yearly),2,"Fasilitas ruang untuk Workshop Tata Kelola Data kurang siap; wifi sering putus, AC tidak stabil, dan setup lab terlambat saat sesi dimulai untuk instansi pemerintah.",facility,Persiapan dan Kesiapan Delivery,Public Sector Account Lead,Jakarta,Internal
DEMO-20260330-0028,Post-Class Survey,LMS,2025-08-31,Instansi Pemerintah (Gov),Pelatihan IT Security,1 Tahun Terakhir (Yearly),4,"Instruktur Pelatihan IT Security sangat kompeten, penjelasannya jelas, dan contoh kasusnya dekat dengan kebutuhan instansi pemerintah.",instructor,Pelaksanaan Layanan,Public Sector Account Lead,Yogyakarta,OL
DEMO-20260330-0029,Learning Evaluation,Google Form,2025-08-28,Instansi Pemerintah (Gov),Audit SPBE,1 Tahun Terakhir (Yearly),3,"Materi Audit SPBE cukup jelas, tetapi beberapa modul masih perlu diperbarui agar lebih relevan dengan kondisi terbaru untuk instansi pemerintah.",material,Pelaksanaan Layanan,Public Sector Account Lead,Jakarta,Internal
DEMO-20260330-0057,Account Review,WhatsApp,2025-08-27,BUMN / Corporate,Konsultasi IT Masterplan,1 Tahun Terakhir (Yearly),4,"Tim account untuk Konsultasi IT Masterplan cepat merespons pertanyaan dan follow up sangat jelas, sehingga koordinasi dengan BUMN / corporate berjalan lancar sejak awal.",responsiveness,Pra-Layanan dan Ekspektasi,Corporate Delivery Lead,Bandung,Internal
DEMO-20260330-0030,Stakeholder Debrief,CRM,2025-08-25,Instansi Pemerintah (Gov),Workshop Tata Kelola Data,1 Tahun Terakhir (Yearly),4,"Komunikasi pra-delivery Workshop Tata Kelola Data rapi, brief jelas, dan semua update status diterima tepat waktu oleh tim instansi pemerintah.",communication,Pra-Layanan dan Ekspektasi,Public Sector Account Lead,Yogyakarta,Internal
DEMO-20260330-0058,Project Coordination Log,Email,2025-08-24,BUMN / Corporate,Pelatihan Cloud Native (AWS),1 Tahun Terakhir (Yearly),2,"Jadwal Pelatihan Cloud Native (AWS) terlalu padat, perubahan waktu mendadak, dan jeda antarsesi kurang memadai bagi peserta BUMN / corporate.",schedule,Persiapan dan Kesiapan Delivery,Corporate Delivery Lead,Surabaya,Internal
DEMO-20260330-0031,Outcome Review,CRM,2025-08-22,Instansi Pemerintah (Gov),Pelatihan IT Security,1 Tahun Terakhir (Yearly),2,"Setelah Pelatihan IT Security selesai, manfaat yang dirasakan belum kuat, tindak lanjut kurang jelas, dan output akhirnya belum mudah dipakai oleh tim instansi pemerintah.",outcome,Tindak Lanjut dan Outcome,Public Sector Account Lead,Jakarta,OL
DEMO-20260330-0059,Operational Readiness Check,On-site Form,2025-08-21,BUMN / Corporate,Workshop AI Adoption Readiness,1 Tahun Terakhir (Yearly),4,"Fasilitas ruang untuk Workshop AI Adoption Readiness nyaman, lab siap dipakai, dan wifi stabil sepanjang sesi untuk BUMN / corporate.",facility,Persiapan dan Kesiapan Delivery,Corporate Delivery Lead,Jakarta,OL
DEMO-20260330-0060,Post-Class Survey,Google Form,2025-08-18,BUMN / Corporate,Konsultasi IT Masterplan,1 Tahun Terakhir (Yearly),3,"Instruktur Konsultasi IT Masterplan cukup menguasai materi, tetapi penyampaian contoh kasus belum selalu relevan dengan kebutuhan BUMN / corporate.",instructor,Pelaksanaan Layanan,Corporate Delivery Lead,Bandung,Internal
DEMO-20260330-0061,Learning Evaluation,LMS,2025-08-15,BUMN / Corporate,Pelatihan Cloud Native (AWS),1 Tahun Terakhir (Yearly),4,"Materi Pelatihan Cloud Native (AWS) relevan, modulnya terstruktur, dan contoh implementasinya mudah diterapkan setelah sesi selesai oleh BUMN / corporate.",material,Pelaksanaan Layanan,Corporate Delivery Lead,Surabaya,Internal
DEMO-20260330-0089,Account Review,Email,2025-08-14,Mahasiswa / Personal,Sertifikasi Cisco (CCNA),1 Tahun Terakhir (Yearly),2,"Tim account untuk Sertifikasi Cisco (CCNA) lambat merespons permintaan revisi dan follow up dari personal, sehingga timeline terasa mundur dari SLA yang dijanjikan.",responsiveness,Pra-Layanan dan Ekspektasi,Retail Program Coordinator,Online Live,Internal
DEMO-20260330-0062,Stakeholder Debrief,Email,2025-08-12,BUMN / Corporate,Workshop AI Adoption Readiness,1 Tahun Terakhir (Yearly),2,"Komunikasi Workshop AI Adoption Readiness kurang rapi; informasi perubahan jadwal, brief teknis, dan update status tidak selalu tersampaikan ke semua PIC BUMN / corporate.",communication,Pra-Layanan dan Ekspektasi,Corporate Delivery Lead,Jakarta,OL
DEMO-20260330-0090,Project Coordination Log,Google Form,2025-08-11,Mahasiswa / Personal,Pelatihan Web Dev,1 Tahun Terakhir (Yearly),4,"Jadwal Pelatihan Web Dev tertata rapi, durasi sesi pas, dan jeda antarsesi cukup untuk menjaga fokus peserta personal.",schedule,Persiapan dan Kesiapan Delivery,Retail Program Coordinator,Yogyakarta,OL
DEMO-20260330-0063,Outcome Review,Interview,2025-08-09,BUMN / Corporate,Konsultasi IT Masterplan,1 Tahun Terakhir (Yearly),4,"Hasil Konsultasi IT Masterplan terasa actionable, membantu tim BUMN / corporate menindaklanjuti pekerjaan, dan output akhirnya bisa langsung dipakai.",outcome,Tindak Lanjut dan Outcome,Corporate Delivery Lead,Bandung,Internal
DEMO-20260330-0091,Operational Readiness Check,Google Form,2025-08-08,Mahasiswa / Personal,Bootcamp Data Science,1 Tahun Terakhir (Yearly),3,"Ruang Bootcamp Data Science cukup nyaman, namun jaringan sesekali melambat saat peserta personal mengakses lab dan package.",facility,Persiapan dan Kesiapan Delivery,Retail Program Coordinator,Online Live,Internal
DEMO-20260330-0092,Post-Class Survey,LMS,2025-08-05,Mahasiswa / Personal,Sertifikasi Cisco (CCNA),1 Tahun Terakhir (Yearly),4,"Instruktur Sertifikasi Cisco (CCNA) sangat kompeten, penjelasannya jelas, dan contoh kasusnya dekat dengan kebutuhan personal.",instructor,Pelaksanaan Layanan,Retail Program Coordinator,Yogyakarta,Internal
DEMO-20260330-0093,Learning Evaluation,Google Form,2025-08-02,Mahasiswa / Personal,Pelatihan Web Dev,1 Tahun Terakhir (Yearly),2,"Materi Pelatihan Web Dev terasa terlalu basic, beberapa modul out of date, dan contoh implementasinya belum sesuai konteks personal.",material,Pelaksanaan Layanan,Retail Program Coordinator,Online Live,OL
DEMO-20260330-0121,Account Review,WhatsApp,2025-08-01,Sekolah / Universitas,Program Magang / Kunjungan Industri,1 Tahun Terakhir (Yearly),4,"Tim account untuk Program Magang / Kunjungan Industri cepat merespons pertanyaan dan follow up sangat jelas, sehingga koordinasi dengan sekolah / universitas berjalan lancar sejak awal.",responsiveness,Pra-Layanan dan Ekspektasi,Education Partnership Manager,Semarang,OL
